City,Job Type,Sex,Year,# of Employee,Avary Salary(\10K)
Yong In City,Over 1yr,Male,2013,180684,367.3
Yong In City,Over 1yr,Female,2013,87865,218.3
Yong In City,Temporary,Male,2013,21939,154.3
Yong In City,Temporary,Female,2013,34584,127.2
Yong In City,Day,Male,2013,5468,107.1
Yong In City,Day,Female,2013,2706,50
Yong In City,Over 1yr,Male,2014,187188,390.4
Yong In City,Over 1yr,Female,2014,91191,227.8
Yong In City,Temporary,Male,2014,21461,160.7
Yong In City,Temporary,Female,2014,29495,119.9
Yong In City,Day,Male,2014,5032,118.6
Yong In City,Day,Female,2014,4273,52.8
Yong In City,Over 1yr,Male,2016,194425,423.3
Yong In City,Over 1yr,Female,2016,94307,234.6
Yong In City,Temporary,Male,2016,20952,167.1
Yong In City,Temporary,Female,2016,32336,136.5
Yong In City,Day,Male,2016,7462,163.6
Yong In City,Day,Female,2016,8157,58.6
Yong In City,Over 1yr,Male,2014,183446,388.1
Yong In City,Over 1yr,Female,2014,94139,217
Yong In City,Temporary,Male,2014,22194,174.1
Yong In City,Temporary,Female,2014,33920,117.1
Yong In City,Day,Male,2014,4166,153.9
Yong In City,Day,Female,2014,2705,81
Yong In City,Over 1yr,Male,2015,190342,398.6
Yong In City,Over 1yr,Female,2015,90861,215.6
Yong In City,Temporary,Male,2015,21699,173.1
Yong In City,Temporary,Female,2015,33068,126.7
Yong In City,Day,Male,2015,2836,130.3
Yong In City,Day,Female,2015,3351,90.3
Yong In City,Over 1yr,Male,2015,192110,400
Yong In City,Over 1yr,Female,2015,91763,218.2
Yong In City,Temporary,Male,2015,21019,135.5
Yong In City,Temporary,Female,2015,27641,115.5
Yong In City,Day,Male,2015,5834,154.1
Yong In City,Day,Female,2015,6970,75.3
Yong In City,Over 1yr,Male,2013,173081,383.1
Yong In City,Over 1yr,Female,2013,81891,208.1
Yong In City,Temporary,Male,2013,26345,134.5
Yong In City,Temporary,Female,2013,41321,109.3
Yong In City,Day,Male,2013,4671,102.4
Yong In City,Day,Female,2013,6385,35
Yong In City,Over 1yr,Male,2018,196087,414.1
Yong In City,Over 1yr,Female,2018,105784,242
Yong In City,Temporary,Male,2018,24289,208.9
Yong In City,Temporary,Female,2018,40647,108.2
Yong In City,Day,Male,2018,4188,193.2
Yong In City,Day,Female,2018,1683,90.8
Yong In City,Over 1yr,Male,2017,178891,418.7
Yong In City,Over 1yr,Female,2017,104638,251.8
Yong In City,Temporary,Male,2017,29458,183.1
Yong In City,Temporary,Female,2017,39588,119
Yong In City,Day,Male,2017,5883,192.2
Yong In City,Day,Female,2017,5286,72.1
Yong In City,Over 1yr,Male,2016,194583,415.7
Yong In City,Over 1yr,Female,2016,102779,236.8
Yong In City,Temporary,Male,2016,20913,177.5
Yong In City,Temporary,Female,2016,36276,112.3
Yong In City,Day,Male,2016,6883,158.2
Yong In City,Day,Female,2016,5806,73.1
Yong In City,Over 1yr,Male,2018,196072,440.2
Yong In City,Over 1yr,Female,2018,116390,261.6
Yong In City,Temporary,Male,2018,18914,180.9
Yong In City,Temporary,Female,2018,37570,125.3
Yong In City,Day,Male,2018,8007,133.7
Yong In City,Day,Female,2018,7467,98.9
Yong In City,Over 1yr,Male,2017,196087,414.1
Yong In City,Over 1yr,Female,2017,105784,242
Yong In City,Temporary,Male,2017,24289,208.9
Yong In City,Temporary,Female,2017,40647,108.2
Yong In City,Day,Male,2017,4188,193.2
Yong In City,Day,Female,2017,1683,90.8
