Rent Class,Sex,Age Code,Usage#,Calorie Burned,Carbon Generated,Distance,Time(min)
Day(Member),F,AGE_005,5,28.51,0.33,1440,141
Day(Member),M,AGE_004,17,2908.72,26.63,114770,278
Day(Member),M,AGE_005,4,0,0,0,80
Montnly,F,AGE_008,2,0,0,0,1
Day(Member),M,AGE_004,1,0,0,0,4
Group,F,AGE_003,3,0,0,0,7
Day(Member),F,AGE_002,2,0,0,0,40
Montnly,F,AGE_002,6,0,0,0,67
Montnly,F,AGE_003,13,0,0,0,72
Montnly,F,AGE_005,1,0,0,0,1
Montnly,F,AGE_006,1,0,0,0,18
Montnly,F,AGE_008,95,0,0,0,557
Montnly,F,AGE_002,1,0,0,0,2
Montnly,F,AGE_003,2,0,0,0,56
Montnly,M,AGE_002,1,0,0,0,5
Montnly,M,AGE_003,45,0,0,0,591
Montnly,M,AGE_004,6,0,0,0,309
Montnly,M,AGE_005,2,0,0,0,21
Group,F,AGE_001,2,0,0,0,441
Group,F,AGE_002,6,206.69,1.86,8030,508
Group,F,AGE_002,1,0,0,0,67
Group,F,AGE_005,2,0,0,0,140
Group,M,AGE_001,2,535.6,4.02,17340,105
Day(Non-Member),F,AGE_008,11,2285.7,20.6,88800,442
Day(Non-Member),M,AGE_008,1,20.08,0.18,780,8
Day(Member),F,AGE_002,69,7768.48,72,310330,3488
Day(Member),F,AGE_003,26,1395.84,10.81,46640,922
Day(Member),F,AGE_004,17,575.1,4.8,20710,721
Day(Member),F,AGE_008,1,0,0,0,15
Day(Member),M,AGE_002,8,465.87,4.37,18770,594
Day(Member),M,AGE_003,2,139.79,1.64,7060,83
Day(Member),F,AGE_001,1,9.5,0.11,480,4
Day(Member),F,AGE_002,30,3373.23,33.28,143520,1536
Day(Member),F,AGE_003,19,2450.99,24.06,103710,1180
Day(Member),M,AGE_001,1,288.67,2.64,11390,94
Day(Member),M,AGE_002,31,2410.74,17.88,77050,1444
Day(Member),M,AGE_003,16,671.74,5.33,23050,667
Day(Member),M,AGE_004,4,2119.2,14.07,60640,304
Day(Member),M,AGE_005,2,0,0,0,121
Montnly,F,AGE_001,10,183.83,1.86,8010,307
Montnly,F,AGE_002,151,15433.11,123.83,533793.98,6491
Montnly,F,AGE_003,45,1926.26,16.71,72000,2038
Montnly,F,AGE_004,10,50.45,0.42,1820,459
Montnly,F,AGE_005,79,128.95,1.16,5010,2314
Montnly,F,AGE_006,1,58.49,0.49,2110,9
Montnly,F,AGE_007,1,0,0,0,23
Montnly,M,AGE_002,28,1978.34,22.7,97866.32,644
Montnly,M,AGE_003,17,2282.04,22.03,94958.49,600
Montnly,F,AGE_002,73,5292.55,50.04,215720,2611
Montnly,F,AGE_003,77,2093.87,22,94810,1947
Montnly,F,AGE_004,19,192.56,2.11,9070,650
Montnly,F,AGE_005,1,0,0,0,28
Montnly,M,AGE_002,89,6969.54,60.76,261850,3101
Montnly,M,AGE_003,76,5412.04,38.6,166320,2473
Montnly,M,AGE_004,36,1425.9,11.8,50880.29,1365
Montnly,M,AGE_005,20,104.76,0.95,4070,469
Montnly,M,AGE_006,8,47.01,0.48,2063.8,73
Montnly,M,AGE_008,2,0,0,0,13
Group,F,AGE_004,1,0,0,0,25
Group,F,AGE_001,2,46.81,0.45,1970,35
Group,F,AGE_002,5,27.32,0.35,1500,382
Group,F,AGE_003,4,135.09,1.51,6510,75
Group,F,AGE_004,4,317.63,2.86,12340,153
Group,M,AGE_004,2,0,0,0,75
Day(Non-Member),F,AGE_008,55,10599.21,95.54,411780,3222
Day(Non-Member),M,AGE_008,4,63.06,0.57,2450,21
Day(Member),F,AGE_001,28,1595.26,15.27,65821.5,1768
Day(Member),F,AGE_002,349,34219.22,320.03,1379700,17044
Day(Member),F,AGE_003,84,6008.07,58.01,250057.42,3828
Day(Member),F,AGE_004,21,970.5,8.67,37340,1102
Day(Member),F,AGE_005,6,37.07,0.33,1440,215
Day(Member),F,AGE_008,9,2693.02,24.27,104624.36,716
Day(Member),F,AGE_001,1,77.02,0.9,3890,19
Day(Member),M,AGE_002,29,2340.01,25.81,111230,1214
Day(Member),M,AGE_003,4,899.55,7.32,31550,185
