City,Job Type,Sex,Year,# of Employee,Weekly Working Hr
Yong In City,Over 1yr,Male,2016,194005,45
Yong In City,Over 1yr,Female,2016,99674,41.1
Yong In City,Temporary,Male,2016,20913,41.4
Yong In City,Temporary,Female,2016,36056,30.7
Yong In City,Day,Male,2016,6883,40.6
Yong In City,Day,Female,2016,5806,31.6
Yong In City,Over 1yr,Male,2017,194761,45.2
Yong In City,Over 1yr,Female,2017,101174,42.2
Yong In City,Temporary,Male,2017,24289,39.9
Yong In City,Temporary,Female,2017,40422,29
Yong In City,Day,Male,2017,4188,40.7
Yong In City,Day,Female,2017,1683,24.8
Yong In City,Over 1yr,Male,2013,172799,45.6
Yong In City,Over 1yr,Female,2013,79518,41.6
Yong In City,Temporary,Male,2013,26345,39.4
Yong In City,Temporary,Female,2013,41321,34.9
Yong In City,Day,Male,2013,4671,31.1
Yong In City,Day,Female,2013,6385,18.1
Yong In City,Over 1yr,Male,2015,189030,45.9
Yong In City,Over 1yr,Female,2015,87212,42
Yong In City,Temporary,Male,2015,21272,45.8
Yong In City,Temporary,Female,2015,33068,35.9
Yong In City,Day,Male,2015,2836,34.8
Yong In City,Day,Female,2015,3351,30.6
Yong In City,Over 1yr,Male,2013,180349,46.4
Yong In City,Over 1yr,Female,2013,85345,43.3
Yong In City,Temporary,Male,2013,21652,43
Yong In City,Temporary,Female,2013,34584,39.2
Yong In City,Day,Male,2013,5468,35.7
Yong In City,Day,Female,2013,2706,20.8
Yong In City,Over 1yr,Male,2014,186031,45.4
Yong In City,Over 1yr,Female,2014,87469,42.7
Yong In City,Temporary,Male,2014,21167,41.5
Yong In City,Temporary,Female,2014,29255,34.7
Yong In City,Day,Male,2014,5032,39.8
Yong In City,Day,Female,2014,4611,23.9
Yong In City,Over 1yr,Male,2014,182189,45.3
Yong In City,Over 1yr,Female,2014,90368,42.3
Yong In City,Temporary,Male,2014,22194,39.8
Yong In City,Temporary,Female,2014,33920,34.4
Yong In City,Day,Male,2014,4166,35.2
Yong In City,Day,Female,2014,2705,34.4
Yong In City,Over 1yr,Male,2016,194152,40.2
Yong In City,Over 1yr,Female,2016,91606,37.9
Yong In City,Temporary,Male,2016,20952,34.4
Yong In City,Temporary,Female,2016,32079,30
Yong In City,Day,Male,2016,7462,35.5
Yong In City,Day,Female,2016,8157,23.1
Yong In City,Over 1yr,Male,2018,193745,44
Yong In City,Over 1yr,Female,2018,113646,40.5
Yong In City,Temporary,Male,2018,18914,37.5
Yong In City,Temporary,Female,2018,36088,30
Yong In City,Day,Male,2018,8007,30.5
Yong In City,Day,Female,2018,7467,26.7
Yong In City,Over 1yr,Male,2015,191211,46.3
Yong In City,Over 1yr,Female,2015,89294,43.1
Yong In City,Temporary,Male,2015,20719,35.8
Yong In City,Temporary,Female,2015,27641,32.7
Yong In City,Day,Male,2015,5834,41.4
Yong In City,Day,Female,2015,6970,29.2
Yong In City,Over 1yr,Male,2017,178309,45.1
Yong In City,Over 1yr,Female,2017,101618,41
Yong In City,Temporary,Male,2017,29458,39.4
Yong In City,Temporary,Female,2017,39588,32.9
Yong In City,Day,Male,2017,5883,45.1
Yong In City,Day,Female,2017,5286,23.3
Yong In City,Over 1yr,Male,2018,194761,45.2
Yong In City,Over 1yr,Female,2018,101174,42.2
Yong In City,Temporary,Male,2018,24289,39.9
Yong In City,Temporary,Female,2018,40422,29
Yong In City,Day,Male,2018,4188,40.7
Yong In City,Day,Female,2018,1683,24.8
