기간	구분	영아사망자수	영아사망자수	영아사망자수	영아사망률	영아사망률	영아사망률	출생아수	출생아수	출생아수
기간	구분	계	남자	여자	계	남자	여자	계	남자	여자
2012	구분	240	149	91	2.6	3.1	2	93,914	48,353	45,561
2013	구분	219	96	123	2.6	2.2	3	84,066	43,181	40,885
2014	구분	228	130	98	2.7	3	2.4	83,711	42,899	40,812
2015	구분	189	95	94	2.3	2.2	2.3	83,005	42,370	40,635
2016	구분	168	88	80	2.2	2.3	2.2	75,536	38,744	36,792
2017	구분	144	88	56	2.2	2.6	1.8	65,389	33,485	31,904
2018	구분	126	71	55	2.2	2.4	2	58,074	30,137	27,937
2019	구분	131	76	55	2.4	2.7	2.1	53,673	27,811	25,862
