기간	자치구	학교수	학급수	계	남자	여자	계	여자	계	여자	졸업자수	진학자수	입학정원수	입학자수	교지면적	건물면적	교실수
2019	합계	76	2,320	54,296	27,799	26,497	5,333	3,755	459	241	23,281	13,532	17,736	17,578	1,405	1,093	3,635
2019	국립	1	27	763	371	392	71	42	5	3	299	192	247	247	0	26	84
2019	공립	75	2,293	53,533	27,428	26,105	5,262	3,713	454	238	22,982	13,340	17,489	17,331	1,405	1,067	3,551
2019	종로구	1	36	834	834	-	84	60	9	4	402	219	207	237	48	22	68
2019	용산구	1	43	1,097	1,097	-	93	60	7	3	441	262	357	353	36	18	53
2019	성동구	4	109	2,184	588	1,596	250	178	26	14	664	408	676	667	67	49	166
2019	광진구	2	79	1,966	1,070	896	180	127	12	5	940	449	656	656	32	33	126
2019	동대문구	1	23	449	257	192	56	39	5	3	187	127	138	138	13	10	37
2019	중랑구	3	84	1,956	1,033	923	187	132	16	8	864	568	634	634	45	39	152
2019	성북구	2	54	1,480	685	795	139	82	11	5	567	365	486	486	19	39	132
2019	강북구	2	58	1,324	329	995	137	105	13	4	581	346	439	436	25	28	96
2019	도봉구	5	142	3,123	1,692	1,431	320	203	35	19	1,330	712	1,012	1,003	74	71	225
2019	노원구	4	127	2,946	1,988	958	282	175	25	12	1,356	820	934	947	54	54	199
2019	은평구	3	83	1,926	976	950	186	117	15	11	805	490	657	654	44	39	116
2019	서대문구	1	27	693	336	357	65	50	6	2	224	153	218	215	7	13	36
2019	양천구	3	98	2,474	868	1,606	217	156	17	7	1,054	578	797	797	53	41	136
2019	강서구	3	79	1,731	848	883	185	132	15	8	680	398	581	581	41	42	127
2019	구로구	4	132	3,535	1,793	1,742	302	209	23	13	1,467	1,002	1,151	1,140	61	52	203
2019	금천구	1	27	603	313	290	64	50	6	4	252	142	188	188	20	17	40
2019	영등포구	6	175	3,910	1,841	2,069	410	303	33	19	1,748	1,096	1,352	1,282	87	79	261
2019	동작구	3	90	2,226	903	1,323	210	138	19	9	880	542	747	736	72	46	135
2019	관악구	4	97	2,156	1,035	1,121	221	161	27	13	852	535	684	691	66	51	173
2019	서초구	5	174	4,594	2,966	1,628	416	319	33	16	1,927	919	1,521	1,503	136	82	264
2019	강남구	5	181	4,230	2,017	2,213	419	306	32	15	2,063	995	1,364	1,344	192	89	264
2019	송파구	9	285	6,470	3,264	3,206	652	473	52	36	3,018	1,797	2,121	2,085	152	126	436
2019	강동구	4	117	2,389	1,066	1,323	258	180	22	11	979	609	816	805	61	52	190
